kappa,theta,xi,rho,V0,strike,time_to_maturity,target_iv
4.438918634066335,0.019657345118068142,0.2582181575902924,-0.4540821453704473,0.032820926540809425,4792.770517257745,3.381369533515955,0.1876691595280543
4.609785685511003,0.029034555391797126,0.40311938384394486,-0.4654451322133028,0.03035018294193305,11939.378070132947,3.244580230062703,0.14782039864558455
4.1109945959611,0.029478042102002125,0.5949370471730092,-0.12651805000119398,0.02821766699926795,14151.21123496516,3.5310912700107053,0.26935499259709517
1.5089268691048108,0.029693665485535765,0.09880895949684744,-0.7588392664845234,0.020418344561441065,13953.879892098772,1.8891183263523117,0.16900890726608545
0.5371593761560657,0.02788483647077971,0.3448698591661406,-0.7430822133515953,0.027149534167001624,2419.611556533734,2.2825903235466436,0.385424850084251
2.441945438061627,0.028769405395098167,0.19837538689469225,-0.5302829587030431,0.03046747588073318,6561.822143976615,2.9311314430140123,0.32170886228682755
2.840719311499734,0.02671675615668484,0.08050171306129283,-0.7493486844597139,0.023192609120735203,6227.841900725218,3.4873428403598035,0.30015619072640964
1.1738616405332825,0.03192448310061609,0.09890563111243603,-0.46271201217915586,0.03254344286877687,5250.843090569132,4.880984321806122,0.3114639826176424
2.2197725412406393,0.03094239932962438,0.8185169738987872,-0.11180814544525175,0.030209233206065375,3774.081659021535,3.495096001165276,0.280572380622536
4.967904728804879,0.019147413774728735,0.3574072273131035,-0.2863223849174431,0.019562691266511688,13777.585361836076,3.6233977713960424,0.25001754635312695
0.2865427416868042,0.02790785029653968,0.4783588451086952,-0.5280916563219136,0.021206327140019115,13455.702651350744,1.4480891720176625,0.23785004582635585
3.5924691699578477,0.03271242061764122,0.3496671560191514,-0.2009538997713194,0.03479065563078332,15558.694339821403,2.743824154529936,0.2514700556616546
2.5060903548464597,0.02418798976036007,0.06156319388758961,-0.21925434081756567,0.02138263112877271,15843.034927149574,5.711709288282703,0.2485342077538572
1.8352202592803972,0.026178001361007185,0.37444936976067805,-0.29790274906441927,0.028395266721157417,10292.829738334925,2.7447595609702518,0.26772211810649416
1.80585787325543,0.031755617690387906,0.35094133940260647,-0.09135647309865702,0.02039514395676801,2536.7361871346325,4.7010819804070545,0.2681299473636279
2.971187693647308,0.027304272544202056,0.5621772574208711,-0.8915215088896361,0.029629521455283088,6600.582221668965,0.250211015195579,0.3147557189554417
2.716438752333668,0.029890438584211598,0.5820550838494033,-0.402723650194416,0.02306359839488483,4749.128853222973,3.6392236239683724,0.4999248059622546
3.53935122489382,0.03566532372261062,0.9632677187991024,-0.7673670392098276,0.021334379263506387,923.38496376588,1.1465032723259991,1.5165448054873156
4.194702701331638,0.028214883478706966,0.2834367295638051,-0.34952438181197265,0.03643080891262346,7430.694704519284,1.2059191722694025,0.3393539810675628
1.734601258557538,0.024119591479377468,0.11700070052740924,-0.7963293458038068,0.035891042651103836,9323.534025675166,5.0862286003012995,0.30900291312023115
1.2594283025291657,0.019067043318413694,0.7680523712556725,-0.1462341654508047,0.02988011271572242,14428.276664075502,2.852228904632105,0.25391700326269906
2.663869108465619,0.025663535273809417,0.526571599446693,-0.49029846006080074,0.03118676734915808,5234.603864921707,1.6249347263881626,0.2585380987449513
0.22816877507292277,0.024232192303751912,0.09941311927153026,-0.19743363536638658,0.03320515896774946,4392.185455748286,5.709983786062553,0.28398142138701205
3.1180655374990387,0.025104027463630642,0.38268550227178477,-0.21165286395322436,0.020687258270883024,15808.010776680276,2.8042456135198934,0.21221309845749275
0.9072666667062086,0.03431016569988344,0.0956327929900643,-0.27514240984034233,0.029440479858270936,9560.673242270901,3.7549508105490217,0.34929543667107543
1.0542203709883455,0.026432788761591646,0.43517049759886345,-0.8517157912022293,0.026225622700936466,8492.713411502209,0.23749144919256202,0.15019950886141997
2.122051285485829,0.0357737138963089,0.3871652927283905,-0.5331577758108574,0.03450223757292694,8377.135745028345,0.5091961480679164,0.2747818056818934
2.245690832373498,0.022684509193112795,0.4310984745110025,-0.7909539072752743,0.02204067269350468,1602.2404676705473,0.36250746672585116,0.6675534353413153
4.703282247405391,0.03012235247074829,0.19924101452727455,-0.5063564691962636,0.02073772861425717,2223.564829420658,3.085139839590872,0.24579668542222224
3.3816048364649807,0.01874700830126283,0.4397336320640115,-0.42202351272213046,0.03356167074532115,9287.536279190826,2.189519969000633,0.1265893326101677
